customer_unique_id,number_of_orders,nb_of_canceled_status,nb_of_shipped_status,nb_of_processing_status,nb_of_invoiced_status,nb_of_sellers,total_price,total_nb_of_installments,total_spent,mean_review_score,nb_of_product_categories,mean_nb_of_photos,mean_product_volume_cm3,nb_of_inactive_months,order_frequency,nb_of_late_deliveries,nb_of_late_shipping,list_of_payment_methods_['boleto' 'credit_card'],list_of_payment_methods_['boleto'],list_of_payment_methods_['credit_card' 'boleto'],list_of_payment_methods_['credit_card' 'voucher'],list_of_payment_methods_['credit_card'],list_of_payment_methods_['debit_card'],list_of_payment_methods_['voucher' 'credit_card'],list_of_payment_methods_['voucher'],list_of_payment_methods_other,seller_states_list_['mg' 'sp'],seller_states_list_['mg'],seller_states_list_['pr' 'sp'],seller_states_list_['pr'],seller_states_list_['rj' 'sp'],seller_states_list_['sc' 'sp'],seller_states_list_['sp' 'mg'],seller_states_list_['sp' 'pr'],seller_states_list_['sp' 'sc'],seller_states_list_['sp'],seller_states_list_other,customer_state_ba,customer_state_ce,customer_state_df,customer_state_es,customer_state_go,customer_state_ma,customer_state_mg,customer_state_ms,customer_state_mt,customer_state_pa,customer_state_pe,customer_state_pr,customer_state_rj,customer_state_rs,customer_state_sc,customer_state_sp
004288347e5e88a27ded2bb23747066c,-0.40394511543270106,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,0.07395992851961997,-0.48704634729961643,-0.1250570162372211,0.759759350211704,0.6875746013052997,-0.8312993101299978,1.0688260595303305,0.08680825792970172,-0.3196361361084898,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
004b45ec5c64187465168251cd1c9c2f,-0.40394511543270106,-0.08846878473744017,4.353568934813723,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.5875899337738613,-0.6600843063030603,-0.33647780905987723,-1.0213594699269317,0.6875746013052997,-0.4415671981059884,0.9246432731265216,-0.9636815468904996,-0.31963614135683516,1.208681691148668,-0.3704094777218255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0058f300f57d7b93c477a131a59b36c3,0.03705777419843196,7.1609162046048,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,-1.2644125636058585,-0.24918250605578798,-0.5735653268013383,-0.30797462353827454,-0.42765319654738654,0.6875746013052997,-0.8312993101299978,0.05356911549772349,-0.3333876639983788,-0.31963603079986985,1.208681691148668,-0.3704094777218255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00a39521eb40f7012db50455bf083460,-0.40394511543270106,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.6031986040604514,-0.6600843063030603,-0.36151273187802574,-0.13080005985761378,0.6875746013052997,-0.8312993101299978,-0.664032600612373,-0.9636815468904996,-0.3196359163014609,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00cc12a6d8b578b8ebd21ea4e2ae8b27,0.47806066382956497,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.2648198161043719,-0.48704634729961643,-0.22938113065351068,-0.13080005985761378,0.6875746013052997,-0.4415671981059884,-0.09318232814159638,2.1877878675701043,0.10887097652979129,-0.36915130394208295,-0.3704094777218255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
011575986092c30523ecb71ff10cb473,-0.40394511543270106,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.31264821863392356,-0.5735653268013383,-0.2677468685235789,-0.5760797648922727,0.6875746013052997,3.4557539221341065,-0.35683664581510754,-0.543485624962419,-0.319636109476823,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011b4adcd54683b480c4d841250a987f,0.03705777419843196,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.3111303112482552,1.2433332427348214,-0.0925126396599712,0.16605307683215856,0.6875746013052997,0.20798632193402755,-0.6532944545751995,-0.12328970303433855,-0.3196361296125758,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012452d40dafae4df401bced74cdb490,0.03705777419843196,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,1.334138096006328,0.5511814067210463,0.019157234700507432,0.4629062135219317,0.6875746013052997,1.7669147700300651,0.6410384071501326,-0.7535835859264594,-0.31963613934671903,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
012a218df8995d3ec3bb221828360c86,0.03705777419843196,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,3.4299958787084783,0.20510548871415868,1.057641027367515,-0.42765319654738654,-0.9821662594428795,2.0267361780460718,0.32808711508833893,-0.9636815468904996,-0.31963606230391345,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
013ef03e0f3f408dd9bf555e4edcdc0a,-0.40394511543270106,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.18823709253310178,-0.48704634729961643,-0.23657342764621947,0.759759350211704,0.6875746013052997,1.1173612499900496,-0.29182837322315514,-1.1737795078545399,-0.3196360650574943,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
